locationID,address,city,provStateID,country,postalCode
1,,Moscow,,Russia,
2,543 Runaway,Milan,,Italy,
3,,,,Peru,
4,,,,Malaysia,
5,,,,Brazil,
6,,,,Italy,
7,,,,Indonesia,
8,,,,Lithuania,
9,,,,Serbia,
10,,,,Greenland,
11,,,,Philippines,
12,,,,Korea,
13,,Tokyo,1,Japan,
14,,Rio,3,Brazil,
15,,Tokyo,4,Japan,
16,3242 Bucking Dr. ,Armorillo,2,USA,
17,,Tel Aviv-Yafo,5,Israel,
18,,Paris,6,France,
19,,Brazilia,7,Brazil,
20,,,8,Canada,
21,,,,Uruguay,
22,,,,Thailand,
23,,,,Colombia,
24,,,,Brazil,
25,,,,Hungary,
26,08750 Grim Way,,9,Canada, B021r5
27,5 Warner Avenue,,10,Canada,g4n1f3
